row,tag,question id,score,reputation,accept rate,answer count,is answered
48,wordpress,67227232,0,1,0,1,0,
49,wordpress,65820409,1,9,0,2,0,
50,wordpress,67984568,0,1,0,0,0,
51,wordpress,65983320,6,151,80,5,1,
52,wordpress,66546657,0,149,0,0,0,
53,wordpress,66096612,0,3,0,2,1,
54,wordpress,66531986,0,67,0,0,0,
55,wordpress,67152237,3,91,0,1,1,
56,wordpress,67296060,1,11,0,6,0,
57,wordpress,67369918,0,63,0,1,1,
58,wordpress,65668586,1,489,0,2,1,
59,wordpress,66734125,1,21,0,3,1,
60,wordpress,67254032,0,509,0,1,0,
61,wordpress,66588332,0,93,56,1,1,
62,wordpress,67787478,0,428,65,1,0,
63,wordpress,66651293,0,59,0,3,1,
64,wordpress,66410734,4,807,83,1,1,
65,wordpress,66314966,0,13,0,1,0,
66,wordpress,65640780,0,2544,52,4,1,
67,wordpress,66347124,0,81,75,1,0,
68,wordpress,66103125,0,2110,0,0,0,
69,wordpress,66895764,0,13,0,0,0,
70,wordpress,66546938,1,11,0,1,0,
71,wordpress,67911044,0,1,0,0,0,
72,wordpress,67113196,1,50,0,2,1,
73,wordpress,65669158,0,1,0,1,0,
74,wordpress,68145302,0,1,0,1,0,
75,wordpress,67138657,-2,428,0,2,1,
76,wordpress,67239186,0,98,0,1,0,
77,wordpress,67842884,1,89,0,2,1,
78,wordpress,66741771,-1,1,0,1,0,
79,wordpress,66748204,0,13,0,0,0,
80,wordpress,66042043,-1,1,0,2,0,
81,wordpress,66247652,1,11,0,1,0,
82,wordpress,66582650,1,45,75,1,1,
83,wordpress,67425287,0,57,70,1,0,
84,wordpress,65601348,0,1,0,0,0,
85,wordpress,66160965,-1,1,0,1,0,
86,wordpress,67820735,0,416,0,1,0,
87,wordpress,67066063,0,1,0,1,0,
88,wordpress,67615959,3,33,0,1,1,
89,wordpress,67124963,1,207,40,0,0,
90,wordpress,67902625,1,13,0,2,0,
91,wordpress,66227824,1,85,0,1,0,
92,wordpress,66615867,1,121,0,1,1,
93,wordpress,67351621,0,1,0,2,0,
94,wordpress,66286871,2,23,0,2,1,
95,wordpress,68127125,1,324,67,0,0,
96,wordpress,65735182,0,5,0,2,1,
97,wordpress,66836671,0,21,0,1,0,
98,wordpress,67654554,1,213,0,1,1,
99,wordpress,67636995,1,13,0,1,1,
100,wordpress,67622445,1,19,0,1,1,
101,wordpress,67605848,2,23,0,2,1,
102,wordpress,67600044,1,31,0,1,1,
103,wordpress,67539751,1,25,0,1,1,
104,wordpress,67641295,1,39,0,1,1,
105,wordpress,67541509,0,1,0,2,1,
106,wordpress,66202272,2,93,0,1,1,
107,wordpress,67880962,0,213,0,1,0,
108,wordpress,65897369,1,2110,0,1,1,
109,wordpress,67301432,1,103,0,1,0,
110,wordpress,67057625,0,4114,0,2,1,
111,wordpress,66293058,0,9,0,1,1,
112,wordpress,66723732,1,11,0,1,1,
113,wordpress,67033029,0,54,0,1,0,
114,wordpress,67807541,1,57,0,1,1,
115,wordpress,66593937,0,1,0,1,0,
116,wordpress,65996493,0,21,0,1,0,
117,wordpress,66806184,1,729,86,1,0,
118,wordpress,67489783,0,11,0,1,0,
119,wordpress,66828870,1,46,0,1,0,
120,wordpress,68067960,1,4489,93,1,1,
121,wordpress,67431677,0,149,20,0,0,
122,wordpress,67590725,0,1,0,1,0,
123,wordpress,66207361,4,736,0,3,1,
124,wordpress,67215040,5,83,0,1,1,
125,wordpress,67904061,-2,25,0,2,1,
126,wordpress,67555330,0,1,0,1,0,
127,wordpress,67600710,0,15,0,1,1,
128,wordpress,67866512,-5,1,0,2,0,
129,wordpress,67574444,1,31,0,1,0,
130,wordpress,67341306,2,0,0,1,1,
131,wordpress,67324422,0,361,58,2,1,
132,wordpress,67323726,1,403,0,1,1,
133,wordpress,67318712,0,404,83,1,1,
134,wordpress,67298743,1,83,0,1,1,
135,wordpress,67296447,1,569,97,1,1,
136,wordpress,67302785,1,21,0,2,1,
137,wordpress,67263048,0,1,0,1,0,
138,wordpress,67263021,0,11,0,1,0,
139,wordpress,67259250,0,69,0,2,0,
140,wordpress,67248247,1,105,0,1,1,
141,wordpress,67232487,0,11634,76,1,1,
142,wordpress,67217471,2,33,0,1,1,
143,wordpress,67212906,1,15,0,1,1,
144,wordpress,67176679,1,323,0,1,1,
145,wordpress,66972382,-1,5475,78,2,0,
146,wordpress,66944723,0,747,33,2,1,
147,wordpress,66830101,1,29,0,1,1,
148,wordpress,66942342,-2,335,0,1,0,
149,wordpress,66151448,3,2110,0,2,1,
150,wordpress,66349128,0,1649,62,2,0,
151,wordpress,68062340,0,23,0,1,0,
152,wordpress,68057078,0,65,0,0,0,
153,wordpress,67918043,0,29,0,2,1,
154,wordpress,66476229,0,1,0,1,0,
155,wordpress,67977955,1,108,0,1,1,
156,wordpress,66792296,2,27,0,1,0,
157,wordpress,65605534,1,63,0,0,0,
158,wordpress,68121155,1,95,0,1,1,
159,wordpress,66395120,0,48,0,1,0,
160,wordpress,67195644,0,1,0,3,1,
161,wordpress,65593553,0,2429,75,2,0,
162,wordpress,66186517,1,47,0,1,1,
163,wordpress,66785011,0,385,50,0,0,
164,wordpress,66756880,3,10155,68,3,1,
165,wordpress,66231088,1,61,0,1,1,
166,wordpress,66127542,1,57,70,1,1,
167,wordpress,66088726,1,70,0,1,1,
168,wordpress,66014129,0,1,0,1,0,
169,wordpress,65966360,0,740,69,2,1,
170,wordpress,65959933,1,13,0,1,1,
171,wordpress,65922992,1,149,0,1,1,
172,wordpress,65905914,1,127,0,1,1,
173,wordpress,65890301,1,11,0,1,0,
174,wordpress,65859641,2,23,0,2,1,
175,wordpress,65851109,0,379,75,1,0,
176,wordpress,65850792,-3,49,0,4,1,
177,wordpress,66810508,1,98,0,2,1,
178,wordpress,65710359,1,502,0,0,0,
179,wordpress,67900435,3,45,0,1,1,
180,wordpress,68022156,0,1,0,0,0,
181,wordpress,67144437,1,123,0,1,1,
182,wordpress,66401597,0,25,0,1,1,
183,wordpress,66760422,2,373,0,1,1,
184,wordpress,67326079,2,23,0,1,1,
185,wordpress,66519471,0,25,0,1,0,
186,wordpress,66421023,1,1224,0,1,0,
187,wordpress,66014436,1,154,80,4,1,
188,wordpress,65639258,0,81,67,1,1,
189,wordpress,67285456,0,3,0,1,1,
190,wordpress,66771377,-2,411,77,1,0,
191,wordpress,67844476,0,1,0,1,0,
192,wordpress,65756484,1,769,53,2,0,
193,wordpress,66732632,0,7,0,1,0,
194,wordpress,66968760,-1,9,0,2,1,
195,wordpress,67796488,2,213,0,0,0,
196,wordpress,66434076,1,11,0,1,0,
197,wordpress,66630563,2,39,0,1,1,
198,wordpress,67381298,0,1020,70,1,0,
199,wordpress,66090015,0,2109,58,0,0,
200,wordpress,67163484,1,25,0,1,1,
201,wordpress,65665097,0,9,0,0,0,
202,wordpress,67699143,0,1,0,1,0,
203,wordpress,66368314,0,979,38,1,0,
204,wordpress,67699516,0,1,0,1,0,
205,wordpress,66542401,-1,1,0,1,0,
206,wordpress,67599586,0,1,0,0,0,
207,wordpress,66108466,1,373,0,1,1,
208,wordpress,67985952,-2,1,0,2,1,
209,wordpress,68193531,2,4522,75,2,1,
210,wordpress,66734592,0,127,0,1,1,
211,wordpress,66230724,0,127,0,1,1,
212,wordpress,65692133,3,426,0,1,1,
213,wordpress,67436774,0,1,0,0,0,
214,wordpress,67455227,-1,11,0,1,0,
215,wordpress,68047516,0,13,0,0,0,
216,wordpress,67378975,0,1,0,0,0,
217,wordpress,68116411,1,29,0,1,1,
218,wordpress,67796632,0,21,0,2,0,
219,wordpress,67861384,2,33,0,2,0,
220,wordpress,66467845,0,1,0,1,0,
221,wordpress,67918785,0,15,0,1,0,
222,wordpress,66658628,2,137,0,1,1,
223,wordpress,65777098,0,53,0,2,1,
224,wordpress,67399407,0,37,0,2,1,
225,wordpress,66976469,2,4850,0,1,1,
226,wordpress,66020228,0,111,0,2,0,
227,wordpress,68117430,0,1,0,1,0,
228,wordpress,68186243,0,1,0,1,1,
229,wordpress,66005561,1,41,0,1,1,
230,wordpress,65657048,1,13,0,0,0,
231,wordpress,67582566,0,115,0,1,1,
232,wordpress,67722063,0,4347,57,2,1,
233,wordpress,66714722,0,3,0,0,0,
234,wordpress,67661282,2,1332,29,1,0,
235,wordpress,66848565,0,59,14,0,0,
236,wordpress,66768850,0,1,0,2,0,
237,wordpress,67951887,0,1,0,1,0,
238,wordpress,65995263,0,85,0,2,1,
239,wordpress,66053331,2,23,0,1,1,
240,wordpress,66495286,0,807,83,2,1,
241,wordpress,66643961,0,15,0,1,0,
242,wordpress,67344353,2,105,82,1,1,
243,wordpress,66901675,0,1,0,1,0,
244,wordpress,66332245,1,11,0,2,0,
245,wordpress,65689862,2,305,0,1,1,
246,wordpress,66769886,0,51,80,0,0,
247,wordpress,67287996,0,31,0,1,0,
248,wordpress,68083518,0,827,0,0,0,
249,wordpress,67183333,2,1735,71,1,1,
250,wordpress,66966750,0,133,0,1,1,
251,wordpress,67104555,-1,1,0,1,0,
252,wordpress,65943770,0,1,0,2,0,
253,wordpress,66471822,-1,0,0,2,1,
254,wordpress,66391971,1,0,0,1,0,
255,wordpress,66313803,1,11,0,1,1,
256,wordpress,67962549,0,55,0,1,1,
257,wordpress,66451076,0,1,0,1,0,
258,wordpress,66815488,0,1,0,0,0,
259,wordpress,65971408,1,71,0,2,1,
260,wordpress,66491715,0,557,0,1,0,
261,wordpress,66297087,2,43,0,2,0,
262,wordpress,66673435,0,1468,68,1,0,
263,wordpress,66830748,1,21,0,1,0,
264,wordpress,67700042,0,1,0,1,0,
265,wordpress,66811280,1,740,69,2,1,
266,wordpress,66048796,1,89,25,2,1,
267,wordpress,68036587,0,1,0,0,0,
268,wordpress,67852918,0,1,0,0,0,
269,wordpress,67388726,0,11,0,1,0,
270,wordpress,67899269,1,11,0,0,0,
271,wordpress,65747650,1,131,0,2,1,
272,wordpress,65655288,0,1,0,2,0,
273,wordpress,65955810,0,1,0,1,1,
274,wordpress,65895783,0,1,0,0,0,
275,wordpress,66852354,0,1,0,1,1,
276,wordpress,67732258,1,91,0,1,1,
277,wordpress,68003438,0,75,0,1,0,
278,wordpress,66095674,1,41,0,2,0,
279,wordpress,65973756,0,477,62,2,0,
280,wordpress,68089865,0,182,0,0,0,
281,wordpress,67481943,0,3,0,1,1,
282,wordpress,66260421,0,43,0,1,1,
283,wordpress,65853850,-1,1,0,2,0,
284,wordpress,65546253,4,41,0,1,1,
285,wordpress,67871035,0,3,0,1,1,
286,wordpress,65529954,0,1,0,1,0,
287,wordpress,67258216,1,11,0,1,0,
288,wordpress,68188101,0,9,0,1,0,
289,wordpress,68126943,0,63,0,1,1,
290,wordpress,65800801,3,466,67,1,1,
291,wordpress,66906448,0,1,0,3,1,
292,wordpress,65733948,0,23,0,1,1,
293,wordpress,67771266,1,97,0,0,0,
294,wordpress,67141062,3,73,0,1,0,
295,wordpress,66711600,1,314,0,4,1,
296,wordpress,67671976,0,11,0,1,1,
297,wordpress,67696139,0,75,0,1,1,
298,wordpress,67113566,0,25,0,1,1,
299,wordpress,67976485,1,595,47,1,1,
300,wordpress,68022116,0,11,0,4,0,
301,wordpress,67065249,0,1,0,1,0,
302,wordpress,68069631,-1,314,0,2,1,
303,wordpress,68103066,0,314,0,1,1,
304,wordpress,67330266,0,13,0,0,0,
305,wordpress,67766802,2,86,0,0,0,
306,wordpress,66325208,4,170,0,2,1,
307,wordpress,68156206,-1,1,0,2,0,
308,wordpress,67433304,0,13,0,0,0,
309,wordpress,66837994,1,11,0,1,0,
310,wordpress,66553285,1,207,0,0,0,
311,wordpress,68192256,0,130,0,1,0,
312,wordpress,68194953,4,913,91,1,1,
313,wordpress,66895517,0,8263,67,1,0,
314,wordpress,67723656,1,31,0,1,1,
315,wordpress,66474563,1,41,0,1,1,
316,wordpress,68030551,0,17,0,1,1,
317,wordpress,68176475,0,28495,74,3,1,
318,wordpress,68116683,0,3,0,1,1,
319,wordpress,66040236,2,21,0,1,0,
320,wordpress,67791052,0,3,0,1,1,
321,wordpress,66106184,1,88,0,1,1,
322,wordpress,68174232,0,3890,85,1,1,
323,wordpress,68170306,0,11,0,0,0,
324,wordpress,67947643,0,91,0,1,1,
325,wordpress,67059039,0,11,0,0,0,
326,wordpress,66643161,0,2109,84,1,0,
327,wordpress,66682786,0,13,0,0,0,
328,wordpress,66883448,0,13,0,1,0,
329,wordpress,67602135,0,1,0,2,0,
330,wordpress,67317503,1,13,0,2,1,
331,wordpress,67127295,-3,1,0,2,1,
332,wordpress,67322455,0,2545,73,2,1,
333,wordpress,66121252,1,51,0,0,0,
334,wordpress,66527531,-1,66,0,3,0,
335,wordpress,66668940,0,4231,83,3,1,
336,wordpress,66088979,1,0,0,1,1,
337,wordpress,66911720,2,63,0,1,1,
338,wordpress,67518896,2,23,0,1,1,
339,wordpress,65532649,1,67,0,2,1,
340,wordpress,65799237,1,39,83,1,0,
341,wordpress,68173618,0,43,40,1,1,
342,wordpress,67466925,1,0,0,1,1,
343,wordpress,68114086,0,15,0,1,1,
344,wordpress,68163643,1,13,0,1,1,
345,wordpress,65792332,0,163,0,1,0,
346,wordpress,67753906,0,11,0,1,1,
347,wordpress,68183003,3,454,46,0,0,
348,wordpress,67926940,1,3186,73,3,1,
349,wordpress,68182241,0,1,0,1,0,
350,wordpress,67297317,0,13,0,1,1,
351,wordpress,68128761,0,65,0,1,0,
352,wordpress,68157771,0,11,0,1,1,
353,wordpress,68144384,-1,11,0,1,1,
354,wordpress,68190407,0,1370,0,0,0,
355,wordpress,68197102,0,1,0,1,0,
356,wordpress,68139221,0,1425,0,1,1,
357,wordpress,68181201,-1,33,0,1,0,
358,wordpress,68105355,0,88,0,2,1,
359,wordpress,68183210,-2,1,0,1,0,
360,wordpress,66315236,0,31,0,1,0,
361,wordpress,67866365,0,11,0,1,1,
362,wordpress,68160205,0,1,0,2,0,
363,wordpress,68153452,-1,2429,75,1,0,
364,wordpress,68181711,0,5,0,2,0,
365,wordpress,68169727,0,36,0,1,0,
366,wordpress,68184317,1,1880,78,0,0,
367,wordpress,68098699,1,13,0,2,1,
368,wordpress,68167149,2,21,0,1,1,
369,wordpress,67995806,0,263,68,1,1,
370,wordpress,68048306,0,1,0,1,0,
371,wordpress,68200778,1,15,0,1,1,
372,wordpress,68201318,0,1,0,0,0,
373,wordpress,68199693,0,11,0,1,0,
374,wordpress,68192713,1,568,0,2,0,
375,wordpress,68202504,0,3,0,1,1,
376,wordpress,68188812,1,11,0,0,0,
377,wordpress,68188578,0,213,0,1,1,
378,wordpress,68200118,0,13,0,1,1,
379,wordpress,68200830,0,389,0,1,1,
380,wordpress,68202503,0,91,0,0,0,
381,wordpress,68200645,0,1,0,1,0,
382,wordpress,68200905,0,11,0,0,0,
383,wordpress,68201287,0,21,0,0,0,
384,wordpress,68190985,1,533,0,1,1,
385,wordpress,68163100,0,153,0,1,1,
386,wordpress,68199963,0,373,95,1,1,
387,wordpress,68199612,0,13,0,0,0,
388,wordpress,68163057,0,1,0,0,0,
389,wordpress,68198916,1,23,0,0,0,
390,wordpress,68198703,1,29,0,0,0,
391,wordpress,68197590,0,9,0,0,0,
392,wordpress,68196269,0,1,0,1,0,
393,wordpress,67134536,0,1,0,0,0,
394,wordpress,68186475,0,13,0,1,0,
395,wordpress,68197766,0,3,0,1,1,
396,wordpress,67897288,2,2131,68,2,1,
397,wordpress,68193288,-3,1,0,2,0,
398,wordpress,68196612,0,1,0,1,0,
399,wordpress,68194774,0,3,0,1,1,
400,wordpress,67830095,1,39,0,2,1,
401,wordpress,68196243,0,9,0,0,0,
402,wordpress,68044023,-1,3,0,1,1,
403,wordpress,68183683,0,21,0,1,1,
404,wordpress,68194962,0,640,0,1,1,
405,wordpress,68195799,0,11,0,0,0,
406,wordpress,68195594,0,47,0,0,0,
407,wordpress,68194968,0,241,0,2,0,
408,wordpress,68191563,2,55,0,1,1,
409,wordpress,68082383,1,429,0,1,0,
410,wordpress,68160019,0,178,0,2,0,
411,wordpress,68132987,0,1,0,1,0,
412,wordpress,68182313,0,1,0,1,0,
413,wordpress,65654092,2,3540,72,2,1,
414,wordpress,68189347,0,51,0,1,0,
415,wordpress,68191706,2,1458,0,0,0,
416,wordpress,68191699,0,21,0,0,0,
417,wordpress,68190189,1,1330,29,1,1,
418,wordpress,68185279,1,13,0,0,0,
419,wordpress,68146849,0,21,0,2,1,
420,wordpress,68190025,0,1,0,0,0,
421,wordpress,68189963,0,11,0,0,0,
422,wordpress,68189628,0,1,0,0,0,
423,wordpress,68186216,0,87,60,1,0,
424,wordpress,68186399,0,1,0,2,0,
425,wordpress,68188501,2,157,0,0,0,
426,wordpress,68187837,1,11,0,1,0,
427,wordpress,68187511,-2,15,0,1,1,
428,wordpress,68187475,0,117,0,0,0,
429,wordpress,68187271,0,1,0,0,0,
430,wordpress,68064113,0,317,0,1,0,
431,wordpress,68186747,-2,1,0,1,0,
432,wordpress,68186664,0,11,0,0,0,
433,wordpress,68185544,0,1,0,0,0,
434,wordpress,68177299,0,1,0,0,0,
435,wordpress,68170167,0,1,0,0,0,
436,wordpress,68184919,0,470,0,0,0,
437,wordpress,68184672,0,1,0,0,0,
438,wordpress,68184492,1,177,0,0,0,
439,wordpress,67994796,1,31,0,1,0,
440,wordpress,68183207,0,115,0,0,0,
441,wordpress,68173101,0,1,0,0,0,
442,wordpress,68182618,0,1,0,0,0,
443,wordpress,68182521,0,3295,64,0,0,
444,wordpress,68182520,0,29,0,0,0,
445,wordpress,68180919,1,11,0,1,1,
446,wordpress,68133985,0,25688,82,1,0,
447,wordpress,68181955,0,41,0,0,0,
448,wordpress,68180971,0,13,0,0,0,
449,wordpress,68180167,1,13,0,2,1,
450,wordpress,68179793,2,21,0,2,1,
451,wordpress,68179505,0,1,0,0,0,
452,wordpress,68178528,0,1,0,1,0,
453,wordpress,68178886,1,11,0,0,0,
454,wordpress,68178670,0,776,65,0,0,
455,wordpress,68150712,-1,153,0,4,1,
456,wordpress,66578298,0,4222,53,1,1,
457,wordpress,68178535,0,1,0,0,0,
458,wordpress,68178308,0,1,0,0,0,
459,wordpress,68177756,0,19,0,0,0,
460,wordpress,68177359,0,1,0,0,0,
461,wordpress,68176480,0,1,0,0,0,
462,wordpress,68176554,0,136,0,0,0,
463,wordpress,68162161,0,15,0,0,0,
464,wordpress,68173808,0,1,0,2,0,
465,wordpress,68176176,0,21,0,0,0,
466,wordpress,68175574,1,4114,0,0,0,
467,wordpress,68175054,0,11,0,0,0,
468,wordpress,68152499,0,17,0,1,0,
469,wordpress,68174572,0,1,0,0,0,
470,wordpress,68165407,0,3,0,0,0,
471,wordpress,68174425,0,1,0,0,0,
472,wordpress,68174280,0,3,0,0,0,
473,wordpress,68174268,0,325,100,0,0,
474,wordpress,68044732,0,1209,48,1,0,
475,wordpress,67882544,1,45,0,2,1,
476,wordpress,68174122,0,31,0,0,0,
477,wordpress,68174038,0,365,14,0,0,
478,wordpress,68173842,0,1,0,0,0,
479,wordpress,68173565,0,1,0,0,0,
480,wordpress,68173282,0,1,0,1,1,
481,wordpress,68172482,-1,61,0,1,0,
482,wordpress,68030329,0,125,0,2,1,
483,wordpress,68172151,0,1773,56,1,0,
484,wordpress,67801506,0,197,0,1,0,
485,wordpress,68171699,0,15,0,0,0,
486,wordpress,68157764,1,11,0,1,0,
487,wordpress,68171102,1,11,0,0,0,
488,wordpress,68170973,0,57,0,0,0,
489,wordpress,68170226,-3,37,0,1,1,
490,wordpress,68151828,0,1649,62,0,0,
491,wordpress,68170390,0,1,0,1,0,
492,wordpress,68133282,-2,529,0,1,1,
493,wordpress,68169476,0,101,0,0,0,
494,wordpress,68169346,0,57,0,0,0,
495,wordpress,68164986,1,13,0,1,1,
496,wordpress,68167804,1,73,0,0,0,
497,wordpress,68167775,0,1032,75,0,0,
498,wordpress,68167740,0,39,0,0,0,
499,wordpress,68167673,0,1,0,0,0,
500,wordpress,68162420,1,11,0,1,1,
501,wordpress,68167240,0,11,0,0,0,
502,wordpress,68166727,0,169,0,0,0,
503,wordpress,68166561,0,11,0,0,0,
504,wordpress,68166391,0,43,0,0,0,
505,wordpress,68165647,0,8803,79,1,0,
506,wordpress,68164719,0,4347,57,1,1,
507,wordpress,68165373,0,1,0,0,0,
508,wordpress,68165268,0,29,0,0,0,
509,wordpress,68165232,0,1,0,0,0,
510,wordpress,68157498,0,213,0,0,0,
511,wordpress,68164532,0,1,0,0,0,
512,wordpress,68164293,0,1,0,0,0,
513,wordpress,68163816,0,313,0,1,0,
514,wordpress,68163047,0,8803,79,2,0,
515,wordpress,68161898,0,25,0,0,0,
516,wordpress,68163781,0,1,0,0,0,
517,wordpress,68163541,0,659,77,0,0,
518,wordpress,68163456,0,1,0,0,0,
519,wordpress,68163378,0,33,0,0,0,
520,wordpress,68159792,0,19,0,0,0,
521,wordpress,68160454,0,416,0,3,1,
522,wordpress,68161966,0,1,0,0,0,
523,wordpress,68144267,1,177,0,1,0,
524,wordpress,68161944,0,13,0,0,0,
525,wordpress,68154137,1,13,0,1,1,
526,wordpress,68149178,3,31,0,3,1,
527,wordpress,68161508,0,11,0,0,0,
528,wordpress,66870889,0,27,0,1,1,
529,wordpress,68160597,0,123,33,0,0,
530,wordpress,68131816,0,80,0,1,1,
531,wordpress,68160367,0,1,0,0,0,
532,wordpress,68160134,0,3,0,1,0,
533,wordpress,68157280,0,3,0,1,0,
534,wordpress,68154425,1,13,0,2,1,
535,wordpress,68159012,0,12112,86,1,1,
536,wordpress,68158776,0,1,0,0,0,
537,wordpress,68158436,0,3,0,1,1,
538,wordpress,68151268,0,127,0,2,1,
539,wordpress,68158009,1,11,0,1,0,
540,wordpress,68157103,0,151,0,0,0,
541,wordpress,68156914,1,11,0,1,0,
542,wordpress,68156694,0,1,0,0,0,
543,wordpress,68156193,1,57,0,1,1,
544,wordpress,68156333,0,51,0,0,0,
545,wordpress,68155996,0,12112,86,0,0,
546,wordpress,68154711,0,13,0,1,1,
547,wordpress,68154563,0,51,0,1,0,
548,wordpress,68154751,0,1,0,0,0,
549,wordpress,68154302,0,1316,12,0,0,
550,wordpress,68154013,0,6468,55,1,0,
551,wordpress,68144340,0,439,0,1,1,
552,wordpress,68153132,0,1,0,1,0,
553,wordpress,67830993,0,1,0,1,0,
554,wordpress,68152544,0,1,0,0,0,
555,wordpress,68137194,0,1,0,0,0,
556,wordpress,67956204,0,4599,64,1,1,
557,wordpress,68151429,0,1056,0,0,0,
558,wordpress,68149855,0,261,50,2,1,
559,wordpress,67994448,1,75,0,1,1,
560,wordpress,68124710,0,41,0,1,1,
561,wordpress,68144730,0,1,0,0,0,
562,wordpress,68022243,0,61,0,1,1,
563,wordpress,68110830,0,59,0,2,1,
564,wordpress,68149683,0,1,0,0,0,
565,wordpress,68047920,2,333,0,1,0,
566,wordpress,68149136,0,0,0,0,0,
567,wordpress,68149103,0,13,0,0,0,
568,wordpress,68147965,2,0,0,1,1,
569,wordpress,68139361,2,0,0,1,1,
570,wordpress,68148247,0,35,0,0,0,
571,wordpress,68147865,0,1,0,0,0,
572,wordpress,68138500,1,213,0,1,1,
573,wordpress,68145763,0,43,0,0,0,
574,wordpress,68104290,6,889,81,3,1,
575,wordpress,68143272,1,13,0,2,1,
576,wordpress,68145465,0,1,0,0,0,
577,wordpress,68129395,0,1,0,0,0,
578,wordpress,68144567,1,15,0,0,0,
579,wordpress,68144247,0,1,0,0,0,
580,wordpress,68142552,0,384,26,1,1,
581,wordpress,68143379,0,1,0,1,0,
582,wordpress,68143352,0,29,0,0,0,
583,wordpress,68142869,0,19,0,0,0,
584,wordpress,68143125,0,1,0,0,0,
585,wordpress,68111446,0,1,0,1,0,
586,wordpress,68115076,0,1,0,0,0,
587,wordpress,68141858,1,11,0,0,0,
588,wordpress,65817513,-1,11,0,2,0,
589,wordpress,68140725,1,13,0,1,1,
590,wordpress,68141807,0,3,0,0,0,
591,wordpress,68140533,0,1,0,0,0,
592,wordpress,68140510,0,339,90,1,0,
593,wordpress,68138369,0,3,0,1,1,
594,wordpress,68138148,0,1,0,0,0,
595,wordpress,68138929,0,1,0,2,0,
596,wordpress,68138759,0,11,0,0,0,
597,wordpress,68136481,0,253,0,0,0,
598,wordpress,68119804,1,7679,94,2,1,
599,wordpress,68088738,0,39,0,1,1,
600,wordpress,68097122,-1,29,0,1,1,
601,wordpress,68132609,-1,1,0,1,0,
602,wordpress,68133946,0,1125,96,1,1,
603,wordpress,68129193,1,11,0,1,0,
604,wordpress,68132306,1,11,0,0,0,
605,wordpress,68132133,0,13,0,0,0,
606,wordpress,68131823,0,1,0,0,0,
607,wordpress,68131488,0,61,0,0,0,
608,wordpress,68131059,0,15,0,0,0,
609,wordpress,68130485,1,13,0,2,1,
610,wordpress,68130943,0,1,0,0,0,
611,wordpress,68069725,0,1,0,1,0,
612,wordpress,68129776,0,69,0,0,0,
613,wordpress,68081811,0,1,0,0,0,
614,wordpress,68127497,1,11,0,0,0,
615,wordpress,68129146,0,61,0,0,0,
616,wordpress,68128717,0,37,0,1,0,
617,wordpress,67790906,3,315,0,1,1,
618,wordpress,68128754,0,1,0,0,0,
619,wordpress,68116817,0,57,0,1,1,
620,wordpress,68128193,0,640,0,0,0,
621,wordpress,68128271,0,1,0,0,0,
622,wordpress,68105999,0,1,0,1,0,
623,wordpress,68127464,0,1,0,1,0,
624,wordpress,68127442,0,13,0,0,0,
625,wordpress,68126975,0,706,100,2,1,
626,wordpress,68124732,0,1,0,1,0,
627,wordpress,68126354,1,21,0,2,0,
628,wordpress,68123746,0,470,0,1,1,
629,wordpress,68125851,0,13,0,1,0,
